date, pm25, no2, so2, co
2020/4/9, 46, , , 
2020/4/10, 49, , , 
2020/4/11, 55, , , 
2020/4/12, 57, , 29, 15
2020/4/13, 34, , 17, 17
2020/4/14, 60, , 17, 18
2020/4/15, 62, , , 
2020/4/16, 61, , , 
2020/4/17, 67, , , 
2020/4/18, 40, , , 
2020/4/19, 51, , , 
2020/4/20, 58, , , 
2020/4/21, 63, , , 
2020/4/22, 58, , , 
2020/4/23, 76, , , 
2020/4/24, 56, , , 
2020/4/25, 85, , , 
2020/4/26, 73, , , 
2020/4/27, 58, , , 
2020/4/28, 49, , , 
2020/4/29, 47, , , 
2020/4/30, 45, , , 
2020/5/1, 36, , , 
2020/5/2, 54, , , 
2020/5/3, 51, , , 
2020/5/4, 51, , , 
2020/5/5, 74, , , 
2020/5/6, 108, , , 
2020/5/11, 38, , , 
2020/5/12, 48, , , 
2020/6/25, 66, , , 
2020/6/26, 93, , , 
2020/6/27, 71, , , 
2020/6/28, 71, , , 
2020/6/29, 73, , , 
2020/6/30, 77, , , 
2020/1/1, 100, , , 
2020/1/5, 45, , , 
2020/1/6, 65, , , 
2020/1/7, 90, , , 
2020/1/8, 94, , , 
2020/1/9, 89, , , 
2020/1/10, 70, , , 
2020/1/11, 84, , , 
2020/1/12, 68, , , 
2020/1/13, 85, , , 
2020/1/14, 88, , , 
2020/1/15, 104, , , 
2020/1/16, 88, , , 
2020/1/17, 104, , , 
2020/1/18, 74, , , 
2020/1/19, 87, , , 
2020/1/20, 89, , , 
2020/1/21, 103, , , 
2020/1/22, 104, , , 
2020/1/23, 66, , , 
2020/1/24, 65, , , 
2020/1/25, 79, , , 
2020/1/26, 81, , , 
2020/1/27, 115, , , 
2020/1/28, 104, , , 
2020/1/29, 118, , , 
2020/1/30, 125, , , 
2020/1/31, 88, , , 
2020/2/1, 71, , , 
2020/2/2, 48, , , 
2020/2/3, 59, , , 
2020/2/4, 83, , , 
2020/2/5, 59, , , 
2020/2/6, 58, , , 
2020/2/7, 67, , , 
2020/2/8, 72, , , 
2020/2/9, 66, , , 
2020/2/10, 75, , , 
2020/2/11, 56, , , 
2020/2/12, 51, , , 
2020/2/13, 70, , , 
2020/2/16, 79, , , 
2020/2/17, 69, , , 
2020/2/18, 118, , , 
2020/2/19, 97, , , 
2020/2/20, 58, , , 
2020/2/21, 80, , , 
2020/2/22, 84, , , 
2020/2/23, 80, , , 
2020/2/24, 80, , , 
2020/2/25, 51, , , 
2020/2/26, 42, , , 
2020/2/27, 73, , , 
2020/2/28, 123, , , 
2020/2/29, 132, , , 
2020/3/1, 116, , , 
2020/3/2, 48, , , 
2020/3/3, 42, , , 
2020/3/4, 57, , , 
2020/3/5, 99, , , 
2020/3/6, 90, , , 
2020/3/7, 80, , , 
2020/3/8, 53, , , 
2020/3/9, 65, , , 
2020/3/10, 55, , , 
2020/3/11, 69, , , 
2020/3/12, 98, , , 
2020/3/13, 76, , , 
2020/3/14, 48, , , 
2020/3/15, 64, , , 
2020/3/16, 78, , , 
2020/3/17, 53, , , 
2020/3/18, 77, , , 
2020/3/19, 51, , , 
2020/3/20, 55, , , 
2020/3/21, 39, , , 
2020/3/22, 41, , , 
2020/3/23, 35, , , 
2020/3/24, 49, , , 
2020/3/25, 55, , , 
2020/3/26, 47, , , 
2020/3/27, 43, , , 
2020/3/28, 47, , , 
2020/3/29, 50, , , 
2020/3/30, 56, , , 
2020/3/31, 38, , , 
2019/10/1, 88, , 49, 
2019/10/2, 96, , 51, 
2019/10/3, 85, , 49, 
2019/10/4, 98, , 41, 
2019/10/5, 81, , 42, 
2019/10/6, 71, , 48, 
2019/10/7, 81, , 47, 
2019/10/8, 85, , 45, 
2019/10/9, 82, , 39, 
2019/10/10, 82, , 43, 
2019/10/11, 77, , 51, 
2019/10/12, 76, , 43, 
2019/10/13, 84, , 48, 
2019/10/14, 76, , 49, 
2019/10/15, 75, , 28, 
2019/10/16, 78, , 41, 
2019/10/17, 80, , 49, 
2019/10/18, 79, , 37, 
2019/10/19, 72, , 45, 
2019/10/20, 84, , 40, 
2019/10/21, 118, , 30, 
2019/10/22, 107, , 26, 
2019/10/23, 69, , 21, 
2019/10/24, 106, , 19, 
2019/10/25, 107, , 18, 
2019/10/26, 114, , 24, 
2019/10/27, 87, , 30, 
2019/10/28, 78, , 19, 
2019/10/29, 65, , 21, 
2019/10/30, 97, , 25, 
2019/10/31, 72, , 31, 
2019/11/1, 74, , 38, 
2019/11/2, 81, , 38, 
2019/11/3, 88, , 37, 
2019/11/4, 81, , 49, 
2019/11/5, 79, , 62, 
2019/11/6, 120, , 58, 
2019/11/7, 117, , 63, 
2019/11/8, 127, , 91, 
2019/11/9, 106, , 61, 
2019/11/10, 93, , , 
2019/11/13, 142, , 73, 
2019/11/14, 160, , 59, 
2019/11/15, 134, , 31, 
2019/11/16, 69, , 22, 
2019/11/17, 75, , , 
2019/11/20, 67, , 28, 
2019/11/21, 75, , 39, 
2019/11/22, 92, , 51, 
2019/11/23, 98, , 48, 
2019/11/24, 92, , 42, 
2019/11/25, 82, , 35, 
2019/11/26, 89, , 62, 
2019/11/27, 117, , 94, 
2019/11/28, 147, , 65, 
2019/11/29, 148, , 56, 
2019/11/30, 148, , 72, 
2019/12/1, 98, , 71, 
2019/12/2, 142, , 49, 
2019/12/3, 136, , 32, 
2019/12/4, 75, , 40, 
2019/12/5, 94, , 62, 
2019/12/6, 116, , 46, 
2019/12/7, 76, , 19, 
2019/12/8, 66, , 23, 
2019/12/9, 49, , , 
2019/12/10, 75, , , 
2019/12/11, 91, , , 
2019/12/12, 78, , , 
2019/12/13, 106, , , 
2019/12/14, 120, , , 
2019/12/15, 146, , , 
2019/12/16, 157, , , 
2019/12/17, 148, , , 
2019/12/18, 79, , , 
2019/12/19, 96, , , 
2019/12/20, 116, , , 
2019/12/21, 105, , , 
2019/12/23, 151, , , 
2019/12/24, 145, , , 
2019/12/25, 158, , , 
2019/12/26, 155, , , 
2019/12/27, 150, , , 
2019/12/28, 125, , , 
2019/12/29, 65, , , 
2019/7/1, 113, , 15, 
2019/7/2, 100, , 16, 
2019/7/3, 100, , 21, 
2019/7/4, 104, , 21, 
2019/7/5, 110, , 19, 
2019/7/6, 108, , 21, 
2019/7/7, 90, , 20, 
2019/7/8, 93, , 22, 
2019/7/9, 102, , 19, 
2019/7/10, 95, , 20, 
2019/7/11, 96, , 20, 
2019/7/12, 80, , 22, 
2019/7/13, 89, , 21, 
2019/7/14, 93, , 20, 
2019/7/15, 100, , 21, 
2019/7/16, 83, , 21, 
2019/7/17, 71, , 23, 
2019/7/18, 73, , 23, 
2019/7/19, 82, , 23, 
2019/7/20, 79, , 21, 
2019/7/21, 88, , 19, 
2019/7/22, 71, , 20, 
2019/7/23, 67, , 23, 
2019/7/24, 70, , 23, 
2019/7/25, 78, , 24, 
2019/7/26, 86, , 24, 
2019/7/27, 84, , 23, 
2019/7/28, 64, , 20, 
2019/7/29, 114, , 20, 
2019/7/30, 109, , 22, 
2019/7/31, 68, , 24, 
2019/8/1, 76, , 21, 
2019/8/2, 84, , 19, 
2019/8/3, 72, , 16, 
2019/8/4, 91, , 18, 
2019/8/5, 98, , 18, 
2019/8/6, 106, , 18, 
2019/8/7, 87, , 17, 
2019/8/8, 93, , 18, 
2019/8/9, 82, , 16, 
2019/8/10, 86, , 20, 
2019/8/11, 87, , 18, 
2019/8/12, 83, , 17, 
2019/8/13, 72, , 18, 
2019/8/14, 68, , 21, 
2019/8/15, 67, , 23, 
2019/8/16, 74, , 24, 
2019/8/17, 70, , 25, 
2019/8/18, 67, , 25, 
2019/8/19, 62, , 28, 
2019/8/20, 76, , 24, 
2019/8/21, 85, , 20, 
2019/8/22, 79, , 24, 
2019/8/23, 70, , 23, 
2019/8/24, 71, , 25, 
2019/8/25, 71, , 29, 
2019/8/26, 70, , 25, 
2019/8/27, 83, , 28, 
2019/8/28, 73, , 22, 
2019/8/29, 90, , 21, 
2019/8/30, 86, , 19, 
2019/8/31, 68, , 19, 
2019/9/1, 61, , 20, 
2019/9/2, 65, , 19, 
2019/9/3, 78, , 19, 
2019/9/4, 77, , 22, 
2019/9/5, 71, , 22, 
2019/9/6, 80, , 22, 
2019/9/7, 70, , 20, 
2019/9/8, 78, , 19, 
2019/9/9, 81, , 19, 
2019/9/10, 54, , 20, 
2019/9/11, 48, , 21, 
2019/9/12, 59, , 23, 
2019/9/13, 55, , 25, 
2019/9/14, 54, , 23, 
2019/9/15, 60, , 22, 
2019/9/16, 64, , 22, 
2019/9/17, 63, , 27, 
2019/9/18, 77, , 31, 
2019/9/19, 89, , , 
2019/9/22, 124, , 21, 
2019/9/23, 140, , , 
2019/9/26, 77, , 42, 
2019/9/27, 109, , 39, 
2019/9/28, 106, , 38, 
2019/9/29, 103, , 43, 
2019/9/30, 103, , 42, 
2019/4/1, , , , 
2019/4/2, , , , 
2019/4/3, , , , 
2019/4/4, , , , 
2019/4/5, , , , 
2019/4/6, , , , 
2019/4/7, , , , 
2019/4/8, , , , 
2019/4/9, , , , 
2019/4/10, , , , 
2019/4/11, , , , 
2019/4/12, , , , 
2019/4/13, , , , 
2019/4/14, , , , 
2019/4/15, , , , 
2019/4/16, , , , 
2019/4/17, , , , 
2019/4/18, , , , 
2019/4/19, , , , 
2019/4/20, , , , 
2019/4/21, , , , 
2019/4/22, , , , 
2019/4/23, , , , 
2019/4/24, , , , 
2019/4/25, , , , 
2019/4/26, , , , 
2019/4/27, , , , 
2019/4/28, , , , 
2019/4/29, , , , 
2019/4/30, , , , 
2019/5/1, , , , 
2019/5/2, , , , 
2019/5/3, , , , 
2019/5/4, , , , 
2019/5/5, , , , 
2019/5/6, , , , 
2019/5/7, , , , 
2019/5/8, , , , 
2019/5/9, , , , 
2019/5/10, , , , 
2019/5/11, , , , 
2019/5/12, , , , 
2019/5/13, , , , 
2019/5/14, , , , 
2019/5/15, , , , 
2019/5/16, , , , 
2019/5/17, , , , 
2019/5/18, , , , 
2019/5/19, , , , 
2019/5/20, , , , 
2019/5/21, , , , 
2019/5/23, , , , 
2019/5/24, , , , 
2019/5/25, , , , 
2019/5/26, , , , 
2019/5/27, , , , 
2019/5/28, , , , 
2019/5/29, , , , 
2019/5/30, , , , 
2019/5/31, , , , 
2019/6/1, , , , 
2019/6/2, , , , 
2019/6/3, , , , 
2019/6/4, , , , 
2019/6/5, , , , 
2019/6/6, , , , 
2019/6/7, , , , 
2019/6/8, , , , 
2019/6/9, , , , 
2019/6/10, , , , 
2019/6/11, , , , 
2019/6/12, , , , 
2019/6/13, , , , 
2019/6/14, , , , 
2019/6/15, , , , 
2019/6/16, , , , 
2019/6/17, , , , 
2019/6/18, , , , 
2019/6/19, , , , 
2019/6/20, , , , 
2019/6/21, , , , 
2019/6/22, , , , 
2019/6/23, , , , 
2019/6/24, , , , 
2019/6/25, , , , 
2019/6/26, , , , 
2019/6/27, , , 16, 
2019/6/28, 54, , 24, 
2019/6/29, 89, , 20, 
2019/6/30, 107, , 18, 
2019/1/1, , , , 
2019/1/2, , , , 
2019/1/3, , , , 
2019/1/4, , , , 
2019/1/5, , , , 
2019/1/6, , , , 
2019/1/7, , , , 
2019/1/8, , , , 
2019/1/9, , , , 
2019/1/15, , , , 
2019/1/16, , , , 
2019/1/17, , , , 
2019/1/18, , , , 
2019/1/19, , , , 
2019/1/20, , , , 
2019/1/21, , , , 
2019/1/22, , , , 
2019/1/23, , , , 
2019/1/24, , , , 
2019/1/25, , , , 
2019/1/26, , , , 
2019/1/28, , , , 
2019/1/29, , , , 
2019/1/30, , , , 
2019/1/31, , , , 
2019/2/1, , , , 
2019/2/2, , , , 
2019/2/3, , , , 
2019/2/4, , , , 
2019/2/5, , , , 
2019/2/6, , , , 
2019/2/7, , , , 
2019/2/8, , , , 
2019/2/9, , , , 
2019/2/10, , , , 
2019/2/11, , , , 
2019/2/12, , , , 
2019/2/13, , , , 
2019/2/14, , , , 
2019/2/15, , , , 
2019/2/16, , , , 
2019/2/17, , , , 
2019/2/18, , , , 
2019/2/19, , , , 
2019/2/20, , , , 
2019/2/21, , , , 
2019/2/22, , , , 
2019/2/23, , , , 
2019/2/24, , , , 
2019/2/25, , , , 
2019/2/26, , , , 
2019/2/27, , , , 
2019/2/28, , , , 
2019/3/1, , , , 
2019/3/2, , , , 
2019/3/3, , , , 
2019/3/4, , , , 
