date, pm25, pm10, o3, no2, so2, co
2020/12/1, 79, 58, , 78, 12, 15
2020/12/2, 108, 41, , 63, 7, 11
2020/12/3, 87, 32, , 50, 10, 12
2020/12/4, 69, 34, , 49, 6, 12
2020/12/5, 67, 21, , 43, 4, 10
2020/12/6, 50, 12, , 44, 3, 9
2020/12/7, 36, 19, , 44, 4, 12
2020/12/8, 44, 37, , 58, 7, 15
2020/12/9, 65, 54, , 68, 12, 18
2020/12/10, 95, 49, , 60, 9, 15
2020/12/11, 83, 42, , 54, 10, 16
2020/12/12, 79, 51, , 58, 9, 16
2020/12/13, 84, 50, , 56, 12, 13
2020/12/14, 79, 53, , 66, 13, 14
2020/12/15, 94, 56, , 68, 9, 18
2020/12/16, 98, 51, , 81, 14, 19
2020/12/17, 103, 55, , 63, 10, 12
2020/12/18, 106, 27, , 49, 4, 12
2020/12/19, 64, 31, , 50, 5, 11
2020/12/20, 63, 33, , 52, 5, 13
2020/12/21, 65, 46, , 56, 10, 16
2020/12/22, 73, 56, , 66, 10, 18
2020/12/23, 95, 33, , 56, 7, 13
2020/12/24, 73, 13, , 31, 3, 8
2020/12/25, 40, 37, , 55, 7, 17
2020/12/26, 57, 54, , 75, 13, 21
2020/12/27, 89, 74, , 91, 15, 30
2020/12/28, 134, 75, , 95, 14, 30
2020/12/29, 132, 86, , 96, 15, 32
2020/12/30, 148, 63, , 107, 11, 21
2020/12/31, 108, 72, , 94, 12, 24
2021/1/1, 137, 72, , 93, 10, 28
2021/1/2, 130, 75, , 98, 19, 28
2021/1/3, 131, 61, , 83, 9, 20
2020/1/1, 85, 35, 11, 50, 6, 18
2020/1/2, 59, 36, 13, 52, 10, 19
2020/1/3, 66, 33, 13, 42, 5, 17
2020/1/4, 62, 16, 14, 37, 4, 16
2020/1/5, 36, , , , , 
2020/1/12, 62, 49, 7, , 11, 21
2020/1/13, 77, 40, 8, , 6, 19
2020/1/14, 78, 40, 3, , 4, 23
2020/1/15, 90, , , , , 
2020/2/8, 47, 46, 27, 22, 3, 10
2020/2/9, 37, 42, 22, 26, 3, 11
2020/2/10, 39, 15, 28, 24, 4, 11
2020/2/11, 24, 27, 11, 37, 5, 15
2020/2/12, 53, , , , , 
2019/10/1, 73, 64, 53, 51, 6, 50
2019/10/2, 76, 56, 50, 62, 6, 23
2019/10/3, 65, 59, 61, 57, 6, 23
2019/10/4, 73, 55, 48, 47, 5, 21
2019/10/5, 63, 52, 36, 51, 8, 22
2019/10/6, 58, 65, 31, 57, 6, 22
2019/10/7, 69, 61, 36, 47, 6, 19
2019/10/8, 62, 55, 32, 45, 7, 19
2019/10/9, 60, 54, 37, 40, 4, 17
2019/10/10, 57, 52, 12, 42, 5, 18
2019/10/11, 64, 56, 13, 50, 7, 21
2019/10/12, 67, 59, 23, 52, 4, 20
2019/10/13, 60, 49, 33, 35, 7, 14
2019/10/14, 43, 55, 41, 49, 6, 21
2019/10/15, 66, 57, 49, 54, 5, 23
2019/10/16, 65, 56, 48, 50, 6, 20
2019/10/17, 56, 49, 49, 45, 6, 16
2019/10/18, 62, 51, 62, 53, 5, 19
2019/10/19, 61, 55, 19, 60, 7, 20
2019/10/20, 69, 39, 31, 39, 4, 16
2019/10/21, 58, 24, 5, 42, 3, 20
2019/10/22, 39, 28, 8, 45, 3, 21
2019/10/23, 51, 35, 22, 42, 3, 20
2019/10/24, 70, 18, 11, 32, 3, 18
2019/10/25, 41, 29, 4, 41, 3, 25
2019/10/26, 64, 33, 18, 34, 3, 18
2019/10/27, 64, 20, 8, 35, 3, 18
2019/10/28, 50, 19, 25, 36, 2, 19
2019/10/29, 28, 37, 18, 43, 3, 23
